tweet,gold_label,predicted_label
"When the government refers to medical marijuana farm in a state where its decriminalized as “organized crime”. Nice waste of millions of tax dollars America, can we focus on actual drug problems now?",NOT,NOT
"@beefcakesteve same here, they are all so sweet, I love them",NOT,NOT
"Medical marijuana opponents, Lt. Governor don't oppose Utah Patients jumping into lawsuit https://t.co/MoXKzc6cNt",NOT,NOT
@NewYorker Get over it. The weddings over.,NOT,NOT
BUSTED!!! Kemi Olunloyo Replies Linda Ikeji… Expose Photos Of The MOONBUMP She Is Wearing [See Photos]… https://t.co/DgVvxmMObC,NOT,NOT
🍺🍿ready!! https://t.co/clD7tbC0z5,NOT,NOT
@SpeakerRyan Does that include medical marijuana in states its not legal yet?,NOT,NOT
"Most oncologists have discussed the use of medical #marijuana with their patients, a new study finds. https://t.co/n2nHbak8hC https://t.co/r9n3TI47wu",NOT,NOT
BUSTED!!! Kemi Olunloyo Replies Linda Ikeji… Expose Photos Of The MOONBUMP She Is Wearing [See Photos]… https://t.co/8jkhmryztU,NOT,NOT
"They did it because he is the president's SIL. We are now a banana republic, where the only thing that matters is fealty to the dictator. Competence is irrelevant. Character is irrelevant. #GOPAbuseofPower https://t.co/4W6iu3hkmU",NOT,NOT
"okay but it actually sucks so much that the first year I COULD go to every Reeperbahn Festival day, I'm in Strasbourg and can only attend the last day",NOT,NOT
"@NewYorker Though, there was that film Pope Pius, Friend of the Nazis.""""",NOT,NOT
IM FREEEEE!!!! WORST EXPERIENCE OF MY FUCKING LIFE,OFF,OFF
"A bastard tick killed my sisters dog. Lyme disease is a real risk for female labradors, golden retrievers and Wheaten terriers. #LymeDisease #LymeDiseaseAwarenessMonth https://t.co/iuw4evNsL8",OFF,NOT
bizarre Op-Ed Thinks Founding Fathers Would Support Gun Control Because Of Dead Kids https://t.co/y2fGt0P6el via @BearingArmsCom,NOT,NOT
@kinky_pooja's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,NOT,NOT
"@BreitbartNews Disgustingly sick turn of mindset for California, modern day Sodom and Gomorrah.",NOT,NOT
@NewYorker Identity politics at its best !!!! How did the first black woman in US Senate turn out ? Lol.,NOT,NOT
@Arbys @Electric_Mucus @badsandwich Thank you for not destroying the beauty Arbys. I ate you more because of the nihilism. Now I guess I'll eat more. Or nothing at all.,NOT,NOT
"HEADLINE: girl continues to display flashy guns, further emphasizing the lack of gun control from legislatures. Call your local governor and do something about it today! https://t.co/s2ZTpg06BB",NOT,NOT
@BreitbartNews This account is his personal account and he has every right accorded to everyone else on Twitter so it doesn’t hold water. Twitter can’t treat Donald Trump any different than Obama.,NOT,NOT
@BreitbartNews Most of those harrassers should be thrown off Twitter under the rules. Singleing out an individual for purposes of harrassment.,NOT,NOT
Medical marijuana is on the ballot in June. And I saw a headline about how people oppose to medical marijuana and I just do not understand,NOT,NOT
Arizona Court to Rule on Medical Marijuana on Campuses @usnews https://t.co/CoYKMeVZYc https://t.co/OEj53Rne3x,NOT,NOT
@BreitbartNews Little Marco Trump will get things done,OFF,NOT
@BreitbartNews This ruling may have implications for Twitter and its rampant use of shadow-bans and algorithmic censorship. We shall see...... #WWG1WGA https://t.co/F8ng8p56tE,NOT,NOT
@aaronLebeahm Good question. All we can do is hold on to this crazy ride and make sure we never stop talking about… https://t.co/8NZQZ6KeDc,NOT,NOT
@ABdeVilliers17 😭😭😭😭 i am not believe Sir You are in retire...... please cam back sir,NOT,NOT
"@NewYorker If you suddenly found yourself atop the “swamp” aka business &amp; politics as usual aka equally influential domestic &amp; foreign interests professionally represented, how would you operate? Who would you trust? The establishment? No late",NOT,NOT
@thehill @DLoesch We already have gun control. Not one of those gun guntrol laws do anything to effect the cause of not only gun violence but violence in general. The condition of the human heart. We as nations turned away from Jehovah God he turned us ov,NOT,NOT
10 #Marvel and #DC Parodies That Are Not For Kids https://t.co/PEUycBcQOU https://t.co/UfObfezQl6,NOT,NOT
WWII always on that fuck shit i'm finna go play fortnite like a dweeb,OFF,OFF
@realDonaldTrump Everyone already know what you are trying to do with the fake news and witch hunt shit um....it’s not working,OFF,OFF
@NewYorker The video shows how undercooked they are! I can't imagine paying $1000 for undercooked wings 🤣 #salmonella,NOT,NOT
@BreitbartNews I remember Kimmel being funny once. Years ago on the NFL today as a prop man!!,NOT,NOT
@NewYorker @arminfar go I am sure,NOT,NOT
@NewYorker Shocked to learn that the #respectthelaw hashtag used by the #MAGA-T's only applies when a minority is gunned down by the police.,NOT,NOT
This fine ass girl just got my number she better quit playing 😆😍,OFF,OFF
if it's not about me its about Matt. blah blah blah worrrry about your bf who makes you feel like shit but you act like yall good. 😂😛✌,OFF,OFF
@saeychung Oh she is the worst. Ugh,OFF,NOT
"Internet Archive Removes Evidence That Companies Sold Stalkerware, But Not ISIS Propaganda https://t.co/PZoSbH7qZn reputationbank",NOT,NOT
@BreitbartNews And liberals block me on the regular. No double standard or bias here https://t.co/qtFKHkguxn,NOT,NOT
AWR Hawkins: Gun Control Is Not School Safety | Breitbart https://t.co/Hi4FtsVSgz https://t.co/hvxWSndM2O,NOT,NOT
Microdosing Is the Future of Cannabis | Medical Marijuana News- #MMJ https://t.co/0JAuwjGzFK,NOT,NOT
"The university’s Lambert Center for the Study of #Medicinal #Cannabis and #Hemp had partnered with ioVita, a… https://t.co/Mr62VslKr8""",NOT,NOT
@BillOReilly Because marijuana doesn't hurt anyone. Please see medical marijuana,NOT,NOT
@BreitbartNews Here's some news. https://t.co/hCAWG2TqC4,NOT,NOT
@NewYorker yes there are gold coated chicken wings. I do not knows who buys them at £1000 a plate.maybe I know the wrong people.,NOT,NOT
Having a medical marijuana card is an easy way to say you were under the influence in any situation,NOT,NOT
@BreitbartNews Good,NOT,NOT
@dvnmya Gemini’s are my favs fuck the haters tbh,OFF,OFF
@BreitbartNews Obama fed the country shit sandwiches for 8 years. Maybe Jim just has his addled mind confused about dates and who fed who what.. https://t.co/ynoQjQ11lT,OFF,OFF
@NewYorker One of great American #authors loved his work. RIP,NOT,NOT
Breitbart | Criminals do not obey gun control laws. Period.... https://t.co/MXZYpJfaGU https://t.co/tF87s986BK,NOT,NOT
@BreitbartNews Ironic because she's just like a shotgun.two cocks and she's ready to blow!,OFF,NOT
So fucking irritated,OFF,OFF
Obama’s Education Secretary Is Wrong About Gun Control Being Best Way to Keep Kids Safe https://t.co/hdOeUHC50l https://t.co/WhBHYYRG2A,NOT,NOT
i told yall im not supposed to fuckin explain so stop asking me why goddamn https://t.co/NImBRp4GcO,OFF,NOT
Health department preparing plan in case voters approve medical marijuana measure https://t.co/P74cnDNS8W https://t.co/thHFDqGlxo,NOT,NOT
Should Florida let patients smoke medical marijuana? A judge will now decide https://t.co/4B49hsCmge,NOT,NOT
@DRoofwood @CNNPolitics Appear to be falling apart? They pled. They’re guilty. They are cooperating with mueller. So sessions recused himself just for honor. That’s not how law works. Recusals don’t happen b/c of honor.,NOT,NOT
@BreitbartNews That's a dangerous slippery slope. When is Twitter going to stop censoring opinions?,NOT,NOT
@BreitbartNews No one cares what Jim Carry does or says! he is irrelevant !,NOT,NOT
@Auzqn @tafadzwamarere @lashiasn @garweh2011 @Bweraz @chichie19 @ChelleChipato This will be my husband some day aneta hake nekushushwa,NOT,NOT
Okay everyone always talks aboht the pathetic army and all the soy boy branches and gay shit and what not but how come no body is talking about the fucking spartans like nibba they save the world unlike some people,OFF,OFF
Click here to watch it: https://t.co/GLOhbdSHUb https://t.co/M87Wl2BE8q,NOT,NOT
@PanicAtTheDisco We love you so much!!,NOT,NOT
"im just thinking about when we had to read cathedral"" back in ap british lit and ""the a&amp;p"" during my first year in college and both them were so fuckin boring 😴""",OFF,NOT
If you lose me bitch you losing 🤷🏾‍♂️,OFF,OFF
@GOPLeader @POTUS Maybe they could start by allowing medical marijuana as a viable substitute instead of labeling it schedule 1.,NOT,NOT
Yessss My shit looks bad Im so glad im off tomorrow,OFF,OFF
Sasha really came for my jugular and called me on my Scorpio fetish last night. Bxtch.,OFF,NOT
"Medical marijuana taken orally yes; smoke it &amp; lungs destroyed,cancer, schizophrenia new studies show. Teachers c 'zoned out students' 0 learning, work ethic. Dr. Gupta has done 0 research. Gupta Killing students 4 wealth of Marijuana business @murdockme https://t.co/GYn5ZtdyZj",NOT,NOT
Arizona Supreme Court: Medical marijuana on #university campus not subject to arrest https://t.co/pkt1HVRBQx #MME #marijuana #cannabis #Medicalmarijuana #College https://t.co/iblv9wqZ2g,NOT,NOT
"@NixBryan @thehill @DLoesch America was built on a republic, as far as gun control most Americans don't want it, it's an extremely unpopular opinion",NOT,NOT
@zackwhittaker I'm so sorry about this heartbreaking news. They are lucky to have you with them.,NOT,NOT
everyone keeps looking at me crazy when i tell them Junie bouta be 4 months 😂 that’s how big he is. 😅,NOT,NOT
@NewYorker Capitalism is the antithesis of democracy.,NOT,NOT
@NewYorker Fakesters,NOT,NOT
@BreitbartNews This is funny I'm sick &amp; tired of Lib comedians using their show to bash Trump and his family I'm sick of it! Why doI have 2 pay 4 this crap? We need to be placed on an even plane that's all I ask! We want 2 get our message out as well,NOT,OFF
@BreitbartNews The price of fame and arrogance,NOT,NOT
@thetangibleC4 49 people died at Pulse. 58 people died at Las Vegas. 22 high school student this year. Not enough for Republicans to even have a discussion about gun control. What happened to the bump stock ban? It is dead in congress because of Republ,NOT,NOT
@BreitbartNews Give it up Lame ass,OFF,OFF
"@ketagoesglobal @OKANEMOCHI6 @XonEarth @MuslimIQ The Government"" is in the pocket of the NRA who want nothing more than for the ""right"" people to have as many guns as possible. Who are these government officials who push so strongly to take all of your gu",NOT,NOT
@BreitbartNews By the way some of these Twitter comments are and ate threatening our president keep it up guys we got your back mr. president,NOT,NOT
"As if i just waited an hour + at @TheChiquito coventry, then blanked a good 4 times when we asked how long food would be. Usually good service. Today however, absolutely shite.",OFF,NOT
"@porpentina2017 @LunaLuvgood2017 @GOP They don’t. The GOP will keep supporting racketeer, illegitimate Trump. They never will stop the corruption of tRump. They are in it for the money. They want to destroy American democracy.",NOT,OFF
"“Look, I just want to break up all your shit Call your mama phone Let her know that she raised a bitch, then dial tone, click”",OFF,OFF
This topic keeps expanding and growing like a weed with each new state that passes a law or brings it to the table for discussion: medical marijuana. Read more on how MSS can provide the best storage units for this industry! https://t.co/o04SCOr5w0 https://t.co/nvaDhCWKhC,NOT,NOT
Thinking she a pretty decent bitch but she a hoe prolly 📍 https://t.co/CGQndGerwl,OFF,OFF
"@BreitbartNews So touching, so profound, so moving... I feel an Emy...",NOT,NOT
When you are insulted in public https://t.co/wbjdJnw4Ry #ministrylife,NOT,NOT
"@DavidSonstebo @sweis @BoschGlobal @VWGroup @Ethan_Heilman @neha what about doing this in public? live stream of the curl-p atack? ill publish my IOTA adress with 100GI ... if you can hack it, its yours? deal? if not it shows that Ethan Heilman &amp; Neha",NOT,NOT
@BreitbartNews But thank goodness he’s all got the #ThoughtPolice working overtime🤦‍♀️,NOT,NOT
.@WCSIndia Attention Chief Warden #Rajasthan Dr.Reddy #SaveSuman Repeated requests for HELP have gone unanswered They are Breaking her SPIRIT .@timesofindia https://t.co/yzUoG8lnIc,NOT,NOT
Ask Erin Parszewski to be a guest on your podcast. She's as passionate about #business as she is about #health and #wellness! https://t.co/7YaUeZTD5C https://t.co/8AVznPA15i,NOT,NOT
@BreitbartNews Like he actually reads their tweets. lol,NOT,NOT
@NewYorker Yes she should,NOT,NOT
@SimplyKane_ I think Emery's primary job is to consolidate their top 4 position. Which he might be able to do next season with some major overhaul. I don't think they are asking for trophies from him so soon. He is a good manager but Arsenal's squad is po,NOT,NOT
"@NewYorker Best of luck, Ms. Stacey Abrams -- rooting for you!",NOT,NOT
@NewYorker But do these firsts make her qualified? Just asking!----S,NOT,NOT
"As a football fan, F u c k this shit ⬇️ And it’s not even the first or last time this organization mishandles an important issue. 🙄 https://t.co/ZmEQSWr3Jz",OFF,OFF
"@NewYorker Hm. Sorry, not caring.",NOT,NOT
@joxnxgxrcix oh my gooooood he is such a man now,NOT,NOT
"@mahwashajaz_ she is 11 year old, she should be called a child not teenager, even news paper reported it like that.",NOT,NOT
Obama’s Education Secretary Is Wrong About Gun Control Being Best Way to Keep Kids Safe https://t.co/8hSxiTA5v4,NOT,NOT
I love simba with my whole heart even if she is a giant dumbass most the time,OFF,NOT
@BreitbartNews Every time Sch met speaks ill of our president I think he is really alk big about our FORMER preside… https://t.co/jHg6VaQpy4,NOT,NOT
"Our team specializes in helping patients across Ohio obtain their medical marijuana cards. Give us a call, or send us a message, if you’d like to find out more information about how you can get your medical marijuana card in Ohio. https://t.co/D95MBSdKVY #Ohio #medicalmarijuana https://t.co/MdI0MeZ1C3",NOT,NOT
"@BreitbartNews Well it sounds like they should pay their personnel more, instead of giving CEO’s big fat bonuses for cutting wages.",NOT,NOT
Lovely to meet Georgia Too 👍😀🙋🏻 @TinyRebelNpt @networkEDcymru #networkedlocal https://t.co/c3MDP4aMj8,NOT,NOT
@NewYorker yeah but can he pay taxes?,NOT,NOT
Hot USA latina girlfriend sucking so nicely 5 min https://t.co/GjUW6g7Djx,OFF,NOT
GOP Rep proposes bill for more federal cannabis farms and better quality flower https://t.co/zRf0MftVOw https://t.co/0QZp4L3hzy,NOT,NOT
"@NewYorker Sadly, probably not the first time she was alone at an event for Megan. Like every single mom who has had to say ‘Dad couldn’t be here but he really wanted to be. He just had to go to X. He’s so proud of u. I’ll send him pictures’ Brave face fo",NOT,NOT
@aStarlightDream @stephenasmith @StephenCurry30 @HoustonRockets If you are the two time MVP and the man that runs this house.. Then you need to show up in the 4th. Especially in the playoffs..,NOT,NOT
"@Alec_Krummen4 @Jander513 Even if he is, you like thug a little too much 😂",NOT,NOT
@RealJack What you never see is us conservatives beating up on the mental left Democrats! They are always violent. . That speaks volumes about them.,OFF,NOT
@VP How silly to devote energy to this while allowing kids to be shot in school without any push for action on gun control. Par for the course I guess in this administration.,NOT,NOT
"@ncbn @hd_kumaraswamy You tumble in Cong, YSRC trap. To set scores, u get desperate n keep losing your grew. 1st time, I felt very bad with U, seeing you are in Cong lobby, to please your ego. Hope you still remember the reason, how TDP started then, whom",OFF,NOT
"Seth Lancaster hits 17th HR of the year to give CCU 1-0 lead. He is tied with Kevin Woodall Jr., for the team lead. Lancaster has 31 career HR to move into tie for 7th on CCU list with the likes of Sappelt, Rigos, Remillard and Howle.",NOT,NOT
@BreitbartNews Glad it amuses you,NOT,NOT
"This is a Man, a white Wolf, the Captain’s Girlfriend, he is in Infinity war !!! ( Ah bon ?? Ahaha ) https://t.co/A364FAFeYV",OFF,NOT
@DailyCaller who remembers obama on TV the day after sandy hook when a major gun control vote was voted down.... he was MAAAAAAAAAAAAAAAAAD. https://t.co/Vb56HupU3X,OFF,NOT
"Tomi was not assaulted"". She was splashed with a bit of cold water. Shes perfectly fine, just damp. Stop treating her like shes some sort of victim. Was it childish? Yes. Was it rude? Yes. But it was NOT assault. Calm the fuck down.""",NOT,OFF
"He points out that when opioids are used in combination with cannabis in animals, marijuana can boost an opioid's effectiveness without requiring higher dosages."" https://t.co/aZNozHWF5C""",NOT,NOT
"@alt_matt_tweet @realDonaldTrump He donates his entire salary from his Trump businesses every quarter to a worthwhile cause. If he is a conman, then I wish there were more Trumps in this world. #MAGA",NOT,NOT
Medical marijuana laws and adolescent marijuana use in the United States:systematic rev https://t.co/iQmJBPhckx,NOT,NOT
@VP I'm glad to see you are focused on the important issues of our time. Gun control can wait - am I right?,OFF,NOT
"@BreitbartNews Oh go screw himself. Seriously, this judge doesn't get the concept of the First Amendment. Put him right here in my face. I would debate his dumbassery.",OFF,NOT
"@thoughtidsay @Follow_Follow_ In what way does a Football League affect gun control or discrimination? They are asking their players to respect the Anthem, we would expect the same in the U.K.",NOT,NOT
I seriously need to get my shit together.,NOT,OFF
I need one of these jackets https://t.co/IgQq0vhGwp,NOT,NOT
First of all sebody find a boyfriend for @ektaravikapoor . She is so f$$$$$$ lonely https://t.co/JNXhfuvvRd,OFF,NOT
Fuck I keep waking up so fucking horny I’m 🙃🙃🙃🙃🙃,OFF,OFF
@NewYorker Sure they will. They didn't learn from the last meltdown so we'll have to go through it all again.,NOT,NOT
"Interesting how guns get such a bad rap in the US, but other countries--with stricter laws--have higher mortality rates... #2ndAmendment https://t.co/0YucZmJwKC",NOT,NOT
Can’t trust all these celebrities when they wanna smooth their faces &amp; shit. Apparently everyone’s got perfect skin 😂😂😂,OFF,OFF
@BreitbartNews THIS PIECE OF CRAP AND HER LIES DEMOCRAP PARTY HAVE BEEN THROWING OUT FOR 30 YEARS SICK THEY Outsourced ALL OUR JOBS FACTORIES A FACT WHEN THESE COMPANIES MOVED OVER SEAS THERE ARE NO EPA STANDARDS TO OBEY WHATEVER JOBS WERE LEFT GAVE IT TO,OFF,OFF
@visitmusiccity @Titans @NFL @EddieGeorge2727 @TheTimMcGraw Tim McGraw doesn't know his audience. U dont go campaig… https://t.co/pu8ZGIfSfW,NOT,NOT
@JoelSsenyonyi @ntvuganda It's move of pay back from the previous episodes. More two years and double pay would be equivalent to two terms. They are concluding some contract,NOT,NOT
He is now a board member of NW provincial government #SupraMahumapelo,NOT,NOT
Vote for me to perform for $50K Grand Prize at #Alabama All Ages Edition 5/24/18! https://t.co/i9iuXFgcnx #Coast2Coast https://t.co/Hd8477g3c3,NOT,NOT
@hughhewitt @mishacollins Well he’s not wrong and as a Republican (non-Trump supporter) I agree we do need gun control ! And I am very aware of @mishacollins politics,NOT,NOT
@NewYorker She was gracious and dignified !,NOT,NOT
@BreitbartNews If this is true than twitter blocking should be illegal.,NOT,NOT
@BreitbartNews It's hard to understand how representative Al Green wants to impeach a president. Who has brought black unemployment to its lowest levels. What hypocrisy we're all Americans and yet hatred and divisiveness is all the Democrat has to offer.,OFF,NOT
@NewYorker They definitely have the numbers to do so if EVERYONE shows up &amp; votes!!,NOT,NOT
"@NewYorker He's used to administrations that sell Uranium for profit, spy on their political opponents, and bow to our enemies. Probably for the best #DrainTheSwamp",NOT,NOT
@Tini4you Bitte🤗😉🙈🙈,NOT,NOT
@SenorRodriguezz It also penalized a team once for wearing pink for breast cancer awareness. It’s sad. But that and gun control are completely unrelated,NOT,NOT
"Little girls, listen closely 'Cause no one told me But you deserve to know That in this world, you are not beholden You do not owe them Your body and your soul ISSO É UM HINO DE MÚSICA E O CLIPE ENTÃO https://t.co/21Lzl5FNpb #XtinaDemiVideo",NOT,NOT
Pennsylvania Becomes First State to Approve Medical Marijuana to Treat Opioid Addiction https://t.co/axaOAZZ1W6,NOT,NOT
@Holdipoika They are i agree on that but it cant be helped,NOT,NOT
"@NewYorker She was fine! She was perfectly beautiful, proud, loving and fine.",NOT,NOT
@Nick79278488 @AshanteSky 🤣🤣🤣 he is just going to bug you for free pics,NOT,NOT
@BreitbartNews If Trump can't block then none of our public officials can. So the judge in this case should start one up. Why aren't you on Twitter Naomi Buchwald?,NOT,NOT
@btschartdata You are doing amazing sweetie https://t.co/NYwl0wkxGT,NOT,NOT
"@CervantesPR1 Thing is remakes are only required with old ass games. Something from PS1/PS2 because they're outdated.. that's why yakuza 1 &amp; 2 needed remakes and Final Fantasy VII, PS3 games hold up hence why it's a 1080p/4k 60fps port.",NOT,OFF
"Now that the Obama Admin. and their hacks are being exposed, all of the guilty with a brain are suddenly silent and the rest are screaming foul play! We will hear their propaganda well after they are wearing their orange pantsuits! 🍿Popcorn anyone!🍿🍿🍿🍿🍿",NOT,NOT
my case manager just met me at the gas station and is bad ass,OFF,OFF
"@NewYorker I get that puns are tempting, but the TV show title “Mad Men excluded women to emphasize ‘60s gender inequality. Referencing “Math Men” in a story about recent times unnecessarily erases women data scientists and engineers.",NOT,NOT
"@qatarairways Hello, I need help getting past this error kindly... https://t.co/nWPgLfmLmH",NOT,NOT
@NewYorker Next!,NOT,NOT
this was my shit !! 🕺🏾 you wanna see some ass i wanna see some cash 😛 https://t.co/Nm3DRoXHY6,OFF,OFF
@BreitbartNews She slept with him for money &amp; you’re honoring her for resisting him?😂😂😂😂😂😂 Your level of stupidity amazes me!😂😂😂😂😂,OFF,NOT
@NewYorker @StelioLardas John McCain is a loser presidential candidate that stayed in office far too long and caused the Obama administration endless hateful comments.,OFF,NOT
"@BreitbartNews Schumer is dishonest, a liar and a corrupt representative. https://t.co/KTTJc9j4Su",OFF,OFF
"All that crap you talked online about her......I’m glad you met Cris, she is one of the nicest people you will ever meet https://t.co/TWigCloKvE",NOT,NOT
@NewYorker &amp; utterly radiant....,NOT,NOT
"I love JC but he needs to start systematically taking Theresa May down. She is handing him the ammunition, he needs to use it! #PMQs",OFF,NOT
"@NewYorker @WakeUp2News I’m jealous of #Texas &amp; #Georgia. You have some great candidates running. Meanwhile in #Florida, we are stuck with less than mediocre senator @marcorubio for another 4 1/2 yrs. Go out there and vote. Don’t waste this opportunit",OFF,NOT
@SamWoodIII @NewJerseyAG @johnboenher @JanHefler @freedomisgreen @PhilMurphyNJ I just found this insect egg in my “medical marijuana” from CuraLeaf. It cost me $55 for 1/8. #socialjustice https://t.co/f66PXKbs6p,NOT,NOT
@BreitbartNews The Catholic Church is really screwed up. Nothing new here.,OFF,NOT
Why do people think I'm fucking velha all the time?,OFF,OFF
Arizona Supreme Court rules the legislature cannot criminalize marijuana possession on university campuses if a person has a medical marijuana card. Read the opinion https://t.co/bmARomcQtl @AZPMnews,NOT,NOT
"@BreitbartNews Artwork"" https://t.co/JJDXmCy22r""",NOT,NOT
@madimozart @TimesNow He is a man of action? Lol. The actions you see are illusions.,NOT,NOT
Cannabis has been suggested to be an effective painkiller for most people. Follow these tips to have a productive conversation with you doctor about #MedicalMarijuana for #ChronicPain management. https://t.co/IO40LmMDvu,NOT,NOT
The Arizona Supreme Court is scheduled to rule on the legality of medical marijuana on college campuses. https://t.co/De7o7LEK4J,NOT,NOT
"Things HAVE changed, and we can change more! https://t.co/7fHyssJc2Y",NOT,NOT
@NewYorker Human incels could learn a thing or two from their fruitfly brethren.,NOT,NOT
@RickCarioti89 @AT12397451 @NYDailyNews You have called me “nuts” and the only reason I haven’t blocked you was because I thought you were a teenager and don’t know better. Now you insulted me again and you are done.,NOT,NOT
Click here for more Pictures: https://t.co/mclCwzPkQk https://t.co/DIIUHrUcdK,NOT,NOT
@BreitbartNews A Netflix Barry Soetoro aka Barack Obama Production Pedo Joe goes to Washington ! https://t.co/57tFDydmPv,NOT,NOT
@NewYorker Kill the traitors.,OFF,NOT
My wrist been fucked up for nearly a month now . This time im really going to the hospital to see what the fuck is wrong with it,OFF,OFF
"We dare you not to sing along. @frankievalli live with hits like “Sherry,” “Big Girls Don’t Cry,” and “Can’t Take My Eyes Off You” this Sunday in the Island Event Center. A few tickets remain. Get them before they are gone: https://t.co/GIYIPeTSkl https://t.co/zec9F3ILXa",NOT,NOT
